_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
1732,2010,Tuolumne,2,Perforated Appendix,11,52,21.2,19.1,,,,,,
1733,2011,Tuolumne,2,Perforated Appendix,17,53,32.1,30.5,,,,,,
1734,2012,Tuolumne,2,Perforated Appendix,11,38,28.9,27.9,,,,,,
1735,2013,Tuolumne,2,Perforated Appendix,15,30,50.0,38.1,,,,,,
1736,2014,Tuolumne,2,Perforated Appendix,12,30,40.0,39.4,,,,,,
1737,2015,Tuolumne,2,Perforated Appendix,8,12,66.7,48.6,,,,,,
1738,2005,Ventura,2,Perforated Appendix,186,702,26.5,28.1,,,,,,
1739,2006,Ventura,2,Perforated Appendix,217,743,29.2,30.3,,,,,,
1740,2007,Ventura,2,Perforated Appendix,214,791,27.1,28.9,,,,,,
1741,2008,Ventura,2,Perforated Appendix,203,865,23.5,25.7,,,,,,
1742,2009,Ventura,2,Perforated Appendix,192,808,23.8,25.7,,,,,,
1743,2010,Ventura,2,Perforated Appendix,180,836,21.5,23.3,,,,,,
1744,2011,Ventura,2,Perforated Appendix,198,819,24.2,26.2,,,,,,
1745,2012,Ventura,2,Perforated Appendix,184,847,21.7,22.8,,,,,,
1746,2013,Ventura,2,Perforated Appendix,199,692,28.8,29.2,,,,,,
1747,2014,Ventura,2,Perforated Appendix,208,468,44.4,44.5,,,,,,
1748,2015,Ventura,2,Perforated Appendix,143,323,44.3,41.7,,,,,,
1749,2005,Yolo,2,Perforated Appendix,38,95,40.0,43.6,,,,,,
1750,2006,Yolo,2,Perforated Appendix,36,102,35.3,36.4,,,,,,
1751,2007,Yolo,2,Perforated Appendix,32,86,37.2,39.8,,,,,,
1752,2008,Yolo,2,Perforated Appendix,37,98,37.8,37.4,,,,,,
1753,2009,Yolo,2,Perforated Appendix,37,99,37.4,37.5,,,,,,
1754,2010,Yolo,2,Perforated Appendix,42,101,41.6,44.5,,,,,,
1755,2011,Yolo,2,Perforated Appendix,49,133,36.8,38.2,,,,,,
1756,2012,Yolo,2,Perforated Appendix,44,138,31.9,34.6,,,,,,
1757,2013,Yolo,2,Perforated Appendix,45,111,40.5,42.0,,,,,,
1758,2014,Yolo,2,Perforated Appendix,47,96,49.0,48.5,,,,,,
1759,2015,Yolo,2,Perforated Appendix,32,77,41.6,43.9,,,,,,
1760,2005,Yuba,2,Perforated Appendix,21,72,29.2,31.8,,,,,,
1761,2006,Yuba,2,Perforated Appendix,20,66,30.3,35.8,,,,,,
1762,2007,Yuba,2,Perforated Appendix,21,86,24.4,26.6,,,,,,
1763,2008,Yuba,2,Perforated Appendix,19,69,27.5,30.6,,,,,,
1764,2009,Yuba,2,Perforated Appendix,17,71,23.9,25.5,,,,,,
1765,2010,Yuba,2,Perforated Appendix,13,69,18.8,20.2,,,,,,
1766,2011,Yuba,2,Perforated Appendix,16,77,20.8,23.2,,,,,,
1767,2012,Yuba,2,Perforated Appendix,15,61,24.6,28.1,,,,,,
1768,2013,Yuba,2,Perforated Appendix,22,68,32.4,33.7,,,,,,
1769,2014,Yuba,2,Perforated Appendix,18,39,46.2,45.2,,,,,,
1770,2015,Yuba,2,Perforated Appendix,12,31,38.7,36.7,,,,,,
1771,2005,Alameda,3,Diabetes Long-term Complications,"1,220","1,102,068",110.7,123.3,,,,,,
1772,2006,Alameda,3,Diabetes Long-term Complications,"1,188","1,106,823",107.3,118.8,,,,,,
1773,2007,Alameda,3,Diabetes Long-term Complications,"1,126","1,117,973",100.7,110.8,,,,,,
1774,2008,Alameda,3,Diabetes Long-term Complications,"1,162","1,136,417",102.3,112.0,,,,,,
1775,2009,Alameda,3,Diabetes Long-term Complications,"1,079","1,155,287",93.4,101.6,,,,,,
1776,2010,Alameda,3,Diabetes Long-term Complications,"1,146","1,169,910",98.0,105.7,,,,,,
1777,2011,Alameda,3,Diabetes Long-term Complications,"1,091","1,186,810",91.9,98.4,,,,,,
1778,2012,Alameda,3,Diabetes Long-term Complications,"1,104","1,173,980",94.0,97.5,,,,,,
1779,2013,Alameda,3,Diabetes Long-term Complications,990,"1,197,759",82.7,85.2,,,,,,
1780,2014,Alameda,3,Diabetes Long-term Complications,968,"1,192,027",81.2,84.1,,,,,,
1781,2015,Alameda,3,Diabetes Long-term Complications,687,"923,607",74.4,75.1,,,,,,
1782,2016,Alameda,3,Diabetes Long-term Complications,,,,,700,"1,304,840",53.6,75.0,,
1783,2017,Alameda,3,Diabetes Long-term Complications,,,,,911,"1,314,687",69.3,96.3,,
1784,2018,Alameda,3,Diabetes Long-term Complications,,,,,793,"1,323,933",59.9,82.7,,
1785,2019,Alameda,3,Diabetes Long-term Complications,,,,,820,"1,329,186",61.7,84.7,,
1786,2020,Alameda,3,Diabetes Long-term Complications,,,,,722,"1,344,023",53.7,73.1,,
1787,2021,Alameda,3,Diabetes Long-term Complications,,,,,748,"1,317,990",56.8,75.6,,
1788,2022,Alameda,3,Diabetes Long-term Complications,,,,,821,"1,311,253",62.6,82.9,,
1789,2023,Alameda,3,Diabetes Long-term Complications,,,,,"1,033","1,306,255",79.1,103.9,,
1790,2005,Alpine,3,Diabetes Long-term Complications,0,979,0.0,0.0,,,,,,
1791,2006,Alpine,3,Diabetes Long-term Complications,0,"1,001",0.0,0.0,,,,,,
1792,2007,Alpine,3,Diabetes Long-term Complications,0,"1,009",0.0,0.0,,,,,,
1793,2008,Alpine,3,Diabetes Long-term Complications,0,957,0.0,0.0,,,,,,
1794,2009,Alpine,3,Diabetes Long-term Complications,1,947,105.6,92.2,,,,,,
1795,2010,Alpine,3,Diabetes Long-term Complications,0,895,0.0,0.0,,,,,,
1796,2011,Alpine,3,Diabetes Long-term Complications,0,888,0.0,0.0,,,,,,
1797,2012,Alpine,3,Diabetes Long-term Complications,0,"2,975",0.0,0.0,,,,,,
1798,2013,Alpine,3,Diabetes Long-term Complications,1,"2,967",33.7,75.8,,,,,,
1799,2014,Alpine,3,Diabetes Long-term Complications,0,"2,018",0.0,0.0,,,,,,
1800,2015,Alpine,3,Diabetes Long-term Complications,0,"3,000",0.0,0.0,,,,,,
1801,2016,Alpine,3,Diabetes Long-term Complications,,,,,0,860,0.0,0.0,,
1802,2017,Alpine,3,Diabetes Long-term Complications,,,,,1,909,110.0,76.1,,
1803,2018,Alpine,3,Diabetes Long-term Complications,,,,,1,886,112.9,76.6,,
1804,2019,Alpine,3,Diabetes Long-term Complications,,,,,1,909,110.0,75.7,,
1805,2020,Alpine,3,Diabetes Long-term Complications,,,,,1,981,101.9,71.0,,
1806,2021,Alpine,3,Diabetes Long-term Complications,,,,,1,"1,019",98.1,69.2,,
1807,2022,Alpine,3,Diabetes Long-term Complications,,,,,0,998,0.0,0.0,,
1808,2023,Alpine,3,Diabetes Long-term Complications,,,,,0,955,0.0,0.0,,
1809,2005,Amador,3,Diabetes Long-term Complications,26,"31,101",83.6,72.2,,,,,,
1810,2006,Amador,3,Diabetes Long-term Complications,28,"31,460",89.0,76.3,,,,,,
1811,2007,Amador,3,Diabetes Long-term Complications,18,"31,883",56.5,48.0,,,,,,
1812,2008,Amador,3,Diabetes Long-term Complications,25,"31,619",79.1,66.3,,,,,,
1813,2009,Amador,3,Diabetes Long-term Complications,14,"31,769",44.1,36.6,,,,,,
1814,2010,Amador,3,Diabetes Long-term Complications,19,"31,720",59.9,49.2,,,,,,
1815,2011,Amador,3,Diabetes Long-term Complications,18,"31,760",56.7,46.2,,,,,,
1816,2012,Amador,3,Diabetes Long-term Complications,14,"32,614",42.9,35.9,,,,,,
1817,2013,Amador,3,Diabetes Long-term Complications,15,"32,252",46.5,38.5,,,,,,
1818,2014,Amador,3,Diabetes Long-term Complications,16,"33,224",48.2,39.2,,,,,,
1819,2015,Amador,3,Diabetes Long-term Complications,21,"24,635",85.2,70.7,,,,,,
1820,2016,Amador,3,Diabetes Long-term Complications,,,,,24,"31,586",76.0,73.4,,
1821,2017,Amador,3,Diabetes Long-term Complications,,,,,28,"32,677",85.7,83.0,,
1822,2018,Amador,3,Diabetes Long-term Complications,,,,,25,"33,425",74.8,72.6,,
1823,2019,Amador,3,Diabetes Long-term Complications,,,,,27,"33,684",80.2,77.5,,
1824,2020,Amador,3,Diabetes Long-term Complications,,,,,29,"34,367",84.4,81.5,,
1825,2021,Amador,3,Diabetes Long-term Complications,,,,,27,"34,879",77.4,75.0,,
1826,2022,Amador,3,Diabetes Long-term Complications,,,,,32,"35,068",91.3,88.2,,
1827,2023,Amador,3,Diabetes Long-term Complications,,,,,27,"35,299",76.5,71.4,,
1828,2005,Butte,3,Diabetes Long-term Complications,153,"165,310",92.6,94.1,,,,,,
1829,2006,Butte,3,Diabetes Long-term Complications,211,"167,351",126.1,127.8,,,,,,
1830,2007,Butte,3,Diabetes Long-term Complications,193,"168,208",114.7,115.5,,,,,,
1831,2008,Butte,3,Diabetes Long-term Complications,163,"169,793",96.0,96.3,,,,,,
1832,2009,Butte,3,Diabetes Long-term Complications,182,"170,726",106.6,106.4,,,,,,
1833,2010,Butte,3,Diabetes Long-term Complications,212,"171,576",123.6,122.8,,,,,,
1834,2011,Butte,3,Diabetes Long-term Complications,193,"172,643",111.8,111.7,,,,,,
1835,2012,Butte,3,Diabetes Long-term Complications,187,"169,573",110.3,107.2,,,,,,
1836,2013,Butte,3,Diabetes Long-term Complications,144,"170,817",84.3,81.8,,,,,,
1837,2014,Butte,3,Diabetes Long-term Complications,143,"175,975",81.3,79.6,,,,,,
1838,2015,Butte,3,Diabetes Long-term Complications,150,"128,928",116.3,111.4,,,,,,
1839,2016,Butte,3,Diabetes Long-term Complications,,,,,129,"180,760",71.4,62.4,,
1840,2017,Butte,3,Diabetes Long-term Complications,,,,,201,"182,932",109.9,96.0,,
1841,2018,Butte,3,Diabetes Long-term Complications,,,,,169,"184,337",91.7,79.9,,
1842,2019,Butte,3,Diabetes Long-term Complications,,,,,192,"174,575",110.0,96.9,,
1843,2020,Butte,3,Diabetes Long-term Complications,,,,,174,"167,698",103.8,92.2,,
1844,2021,Butte,3,Diabetes Long-term Complications,,,,,181,"164,365",110.1,97.0,,
1845,2022,Butte,3,Diabetes Long-term Complications,,,,,180,"165,784",108.6,96.9,,
1846,2023,Butte,3,Diabetes Long-term Complications,,,,,209,"164,973",126.7,107.4,,
1847,2005,Calaveras,3,Diabetes Long-term Complications,17,"35,913",47.3,40.1,,,,,,
1848,2006,Calaveras,3,Diabetes Long-term Complications,34,"36,599",92.9,78.4,,,,,,
1849,2007,Calaveras,3,Diabetes Long-term Complications,23,"36,944",62.3,52.0,,,,,,
1850,2008,Calaveras,3,Diabetes Long-term Complications,20,"37,092",53.9,44.5,,,,,,
1851,2009,Calaveras,3,Diabetes Long-term Complications,38,"36,875",103.1,83.9,,,,,,
1852,2010,Calaveras,3,Diabetes Long-term Complications,32,"36,801",87.0,70.2,,,,,,
1853,2011,Calaveras,3,Diabetes Long-term Complications,25,"36,652",68.2,54.7,,,,,,
1854,2012,Calaveras,3,Diabetes Long-term Complications,17,"37,597",45.2,36.7,,,,,,
1855,2013,Calaveras,3,Diabetes Long-term Complications,39,"37,646",103.6,83.5,,,,,,
1856,2014,Calaveras,3,Diabetes Long-term Complications,51,"38,886",131.2,104.9,,,,,,
1857,2015,Calaveras,3,Diabetes Long-term Complications,25,"28,698",87.1,69.9,,,,,,
1858,2016,Calaveras,3,Diabetes Long-term Complications,,,,,45,"37,568",119.8,102.7,,
1859,2017,Calaveras,3,Diabetes Long-term Complications,,,,,50,"37,872",132.0,113.4,,
1860,2018,Calaveras,3,Diabetes Long-term Complications,,,,,43,"37,987",113.2,97.0,,
1861,2019,Calaveras,3,Diabetes Long-term Complications,,,,,24,"38,289",62.7,53.6,,
1862,2020,Calaveras,3,Diabetes Long-term Complications,,,,,34,"37,673",90.3,77.2,,
1863,2021,Calaveras,3,Diabetes Long-term Complications,,,,,33,"38,312",86.1,74.1,,
1864,2022,Calaveras,3,Diabetes Long-term Complications,,,,,31,"38,508",80.5,69.3,,
1865,2023,Calaveras,3,Diabetes Long-term Complications,,,,,37,"38,409",96.3,76.4,,
1866,2005,Colusa,3,Diabetes Long-term Complications,22,"14,456",152.2,158.6,,,,,,
1867,2006,Colusa,3,Diabetes Long-term Complications,15,"14,677",102.2,106.7,,,,,,
1868,2007,Colusa,3,Diabetes Long-term Complications,19,"14,837",128.1,132.5,,,,,,
1869,2008,Colusa,3,Diabetes Long-term Complications,26,"14,891",174.6,179.5,,,,,,
1870,2009,Colusa,3,Diabetes Long-term Complications,18,"14,960",120.3,123.9,,,,,,
1871,2010,Colusa,3,Diabetes Long-term Complications,20,"15,117",132.3,136.0,,,,,,
1872,2011,Colusa,3,Diabetes Long-term Complications,18,"15,206",118.4,120.5,,,,,,
1873,2012,Colusa,3,Diabetes Long-term Complications,27,"16,676",161.9,178.5,,,,,,
1874,2013,Colusa,3,Diabetes Long-term Complications,18,"16,775",107.3,117.5,,,,,,
1875,2014,Colusa,3,Diabetes Long-term Complications,22,"16,641",132.2,138.7,,,,,,
1876,2015,Colusa,3,Diabetes Long-term Complications,16,"13,258",120.7,135.2,,,,,,
1877,2016,Colusa,3,Diabetes Long-term Complications,,,,,12,"15,519",77.3,94.6,,
1878,2017,Colusa,3,Diabetes Long-term Complications,,,,,17,"15,549",109.3,133.7,,
1879,2018,Colusa,3,Diabetes Long-term Complications,,,,,25,"15,514",161.1,196.2,,
1880,2019,Colusa,3,Diabetes Long-term Complications,,,,,12,"15,645",76.7,93.1,,
1881,2020,Colusa,3,Diabetes Long-term Complications,,,,,21,"15,973",131.5,158.8,,
1882,2021,Colusa,3,Diabetes Long-term Complications,,,,,16,"16,109",99.3,119.4,,
1883,2022,Colusa,3,Diabetes Long-term Complications,,,,,12,"16,137",74.4,88.8,,
1884,2023,Colusa,3,Diabetes Long-term Complications,,,,,30,"16,124",186.1,188.0,,
1885,2005,Contra Costa,3,Diabetes Long-term Complications,628,"744,835",84.3,87.5,,,,,,
1886,2006,Contra Costa,3,Diabetes Long-term Complications,672,"747,747",89.9,92.7,,,,,,
1887,2007,Contra Costa,3,Diabetes Long-term Complications,681,"755,752",90.1,92.4,,,,,,
1888,2008,Contra Costa,3,Diabetes Long-term Complications,696,"767,612",90.7,92.4,,,,,,
1889,2009,Contra Costa,3,Diabetes Long-term Complications,714,"780,970",91.4,92.5,,,,,,
1890,2010,Contra Costa,3,Diabetes Long-term Complications,835,"793,960",105.2,105.7,,,,,,
1891,2011,Contra Costa,3,Diabetes Long-term Complications,788,"808,054",97.5,97.4,,,,,,
1892,2012,Contra Costa,3,Diabetes Long-term Complications,882,"793,369",111.2,107.0,,,,,,
1893,2013,Contra Costa,3,Diabetes Long-term Complications,793,"808,882",98.0,93.9,,,,,,
1894,2014,Contra Costa,3,Diabetes Long-term Complications,723,"818,959",88.3,85.5,,,,,,
1895,2015,Contra Costa,3,Diabetes Long-term Complications,595,"620,275",95.9,89.7,,,,,,
1896,2016,Contra Costa,3,Diabetes Long-term Complications,,,,,591,"874,355",67.6,94.5,,
1897,2017,Contra Costa,3,Diabetes Long-term Complications,,,,,717,"883,122",81.2,113.0,,
1898,2018,Contra Costa,3,Diabetes Long-term Complications,,,,,667,"890,018",74.9,103.7,,
1899,2019,Contra Costa,3,Diabetes Long-term Complications,,,,,724,"894,163",81.0,111.2,,
1900,2020,Contra Costa,3,Diabetes Long-term Complications,,,,,635,"906,522",70.0,95.8,,
1901,2021,Contra Costa,3,Diabetes Long-term Complications,,,,,675,"908,651",74.3,101.2,,
1902,2022,Contra Costa,3,Diabetes Long-term Complications,,,,,720,"906,227",79.5,107.4,,
1903,2023,Contra Costa,3,Diabetes Long-term Complications,,,,,758,"904,586",83.8,107.0,,
1904,2005,Del Norte,3,Diabetes Long-term Complications,34,"22,068",154.1,157.0,,,,,,
1905,2006,Del Norte,3,Diabetes Long-term Complications,49,"22,055",222.2,224.1,,,,,,
1906,2007,Del Norte,3,Diabetes Long-term Complications,42,"22,315",188.2,188.8,,,,,,
1907,2008,Del Norte,3,Diabetes Long-term Complications,40,"22,398",178.6,177.7,,,,,,
1908,2009,Del Norte,3,Diabetes Long-term Complications,26,"22,525",115.4,114.4,,,,,,
1909,2010,Del Norte,3,Diabetes Long-term Complications,25,"22,507",111.1,109.9,,,,,,
1910,2011,Del Norte,3,Diabetes Long-term Complications,12,"22,606",53.1,52.2,,,,,,
1911,2012,Del Norte,3,Diabetes Long-term Complications,13,"23,687",54.9,56.7,,,,,,
1912,2013,Del Norte,3,Diabetes Long-term Complications,15,"23,420",64.0,65.4,,,,,,
1913,2014,Del Norte,3,Diabetes Long-term Complications,10,"23,656",42.3,41.9,,,,,,
1914,2015,Del Norte,3,Diabetes Long-term Complications,11,"17,650",62.3,64.0,,,,,,
1915,2016,Del Norte,3,Diabetes Long-term Complications,,,,,11,"21,562",51.0,34.0,,
1916,2017,Del Norte,3,Diabetes Long-term Complications,,,,,9,"21,395",42.1,27.7,,
1917,2018,Del Norte,3,Diabetes Long-term Complications,,,,,11,"21,889",50.3,33.3,,
1918,2019,Del Norte,3,Diabetes Long-term Complications,,,,,13,"22,021",59.0,38.8,,
1919,2020,Del Norte,3,Diabetes Long-term Complications,,,,,14,"21,848",64.1,41.8,,
1920,2021,Del Norte,3,Diabetes Long-term Complications,,,,,13,"21,781",59.7,38.9,,
1921,2022,Del Norte,3,Diabetes Long-term Complications,,,,,24,"21,423",112.0,71.9,,
1922,2023,Del Norte,3,Diabetes Long-term Complications,,,,,38,"21,034",180.7,110.8,,
1923,2005,El Dorado,3,Diabetes Long-term Complications,89,"132,739",67.0,64.3,,,,,,
1924,2006,El Dorado,3,Diabetes Long-term Complications,83,"134,458",61.7,58.8,,,,,,
1925,2007,El Dorado,3,Diabetes Long-term Complications,78,"135,852",57.4,54.0,,,,,,
1926,2008,El Dorado,3,Diabetes Long-term Complications,73,"137,534",53.1,49.3,,,,,,
1927,2009,El Dorado,3,Diabetes Long-term Complications,72,"139,337",51.7,47.5,,,,,,
1928,2010,El Dorado,3,Diabetes Long-term Complications,49,"140,597",34.9,31.7,,,,,,
1929,2011,El Dorado,3,Diabetes Long-term Complications,48,"141,461",33.9,30.5,,,,,,
1930,2012,El Dorado,3,Diabetes Long-term Complications,68,"139,213",48.8,42.7,,,,,,
1931,2013,El Dorado,3,Diabetes Long-term Complications,89,"140,808",63.2,54.7,,,,,,
1932,2014,El Dorado,3,Diabetes Long-term Complications,67,"146,643",45.7,39.9,,,,,,
1933,2015,El Dorado,3,Diabetes Long-term Complications,46,"106,572",43.2,36.3,,,,,,
1934,2016,El Dorado,3,Diabetes Long-term Complications,,,,,75,"148,231",50.6,56.1,,
1935,2017,El Dorado,3,Diabetes Long-term Complications,,,,,88,"150,815",58.3,64.4,,
1936,2018,El Dorado,3,Diabetes Long-term Complications,,,,,72,"152,985",47.1,51.6,,
1937,2019,El Dorado,3,Diabetes Long-term Complications,,,,,66,"154,934",42.6,46.4,,
1938,2020,El Dorado,3,Diabetes Long-term Complications,,,,,83,"153,507",54.1,58.7,,
1939,2021,El Dorado,3,Diabetes Long-term Complications,,,,,85,"155,945",54.5,59.4,,
1940,2022,El Dorado,3,Diabetes Long-term Complications,,,,,86,"155,421",55.3,59.9,,
1941,2023,El Dorado,3,Diabetes Long-term Complications,,,,,93,"155,106",60.0,66.8,,
1942,2005,Fresno,3,Diabetes Long-term Complications,669,"605,300",110.5,127.4,,,,,,
1943,2006,Fresno,3,Diabetes Long-term Complications,702,"614,966",114.2,131.2,,,,,,
1944,2007,Fresno,3,Diabetes Long-term Complications,805,"624,332",128.9,147.5,,,,,,
1945,2008,Fresno,3,Diabetes Long-term Complications,822,"634,600",129.5,147.5,,,,,,
1946,2009,Fresno,3,Diabetes Long-term Complications,874,"644,386",135.6,153.7,,,,,,
1947,2010,Fresno,3,Diabetes Long-term Complications,879,"654,204",134.4,151.3,,,,,,
1948,2011,Fresno,3,Diabetes Long-term Complications,885,"664,750",133.1,149.1,,,,,,
1949,2012,Fresno,3,Diabetes Long-term Complications,940,"642,666",146.3,157.2,,,,,,
1950,2013,Fresno,3,Diabetes Long-term Complications,987,"650,435",151.7,162.1,,,,,,
1951,2014,Fresno,3,Diabetes Long-term Complications,952,"679,486",140.1,152.7,,,,,,
1952,2015,Fresno,3,Diabetes Long-term Complications,839,"491,442",170.7,177.2,,,,,,
1953,2016,Fresno,3,Diabetes Long-term Complications,,,,,852,"695,789",122.5,117.2,,
1954,2017,Fresno,3,Diabetes Long-term Complications,,,,,"1,053","703,065",149.8,142.5,,
1955,2018,Fresno,3,Diabetes Long-term Complications,,,,,950,"709,386",133.9,126.8,,
1956,2019,Fresno,3,Diabetes Long-term Complications,,,,,"1,113","715,902",155.5,146.4,,
1957,2020,Fresno,3,Diabetes Long-term Complications,,,,,"1,016","725,899",140.0,131.3,,
1958,2021,Fresno,3,Diabetes Long-term Complications,,,,,"1,157","730,566",158.4,148.3,,
1959,2022,Fresno,3,Diabetes Long-term Complications,,,,,"1,157","734,510",157.5,147.4,,
1960,2023,Fresno,3,Diabetes Long-term Complications,,,,,"1,217","737,124",165.1,122.8,,
1961,2005,Glenn,3,Diabetes Long-term Complications,13,"19,553",66.5,67.3,,,,,,
1962,2006,Glenn,3,Diabetes Long-term Complications,15,"19,729",76.0,77.0,,,,,,
1963,2007,Glenn,3,Diabetes Long-term Complications,9,"19,842",45.4,45.7,,,,,,
1964,2008,Glenn,3,Diabetes Long-term Complications,14,"20,067",69.8,69.9,,,,,,
1965,2009,Glenn,3,Diabetes Long-term Complications,16,"20,155",79.4,79.0,,,,,,
1966,2010,Glenn,3,Diabetes Long-term Complications,13,"20,313",64.0,63.3,,,,,,
1967,2011,Glenn,3,Diabetes Long-term Complications,15,"20,401",73.5,72.6,,,,,,
1968,2012,Glenn,3,Diabetes Long-term Complications,20,"21,643",92.4,95.0,,,,,,
1969,2013,Glenn,3,Diabetes Long-term Complications,29,"21,703",133.6,136.2,,,,,,
1970,2014,Glenn,3,Diabetes Long-term Complications,25,"21,574",115.9,115.9,,,,,,
1971,2015,Glenn,3,Diabetes Long-term Complications,10,"16,846",59.4,61.0,,,,,,
1972,2016,Glenn,3,Diabetes Long-term Complications,,,,,20,"20,377",98.1,95.8,,
1973,2017,Glenn,3,Diabetes Long-term Complications,,,,,18,"20,443",88.0,85.9,,
1974,2018,Glenn,3,Diabetes Long-term Complications,,,,,22,"20,401",107.8,105.2,,
1975,2019,Glenn,3,Diabetes Long-term Complications,,,,,32,"20,882",153.2,149.4,,
1976,2020,Glenn,3,Diabetes Long-term Complications,,,,,26,"21,187",122.7,119.1,,
1977,2021,Glenn,3,Diabetes Long-term Complications,,,,,35,"21,045",166.3,160.7,,
1978,2022,Glenn,3,Diabetes Long-term Complications,,,,,24,"20,780",115.5,111.4,,
1979,2023,Glenn,3,Diabetes Long-term Complications,,,,,35,"20,659",169.4,134.1,,
1980,2005,Humboldt,3,Diabetes Long-term Complications,71,"102,809",69.1,72.7,,,,,,
1981,2006,Humboldt,3,Diabetes Long-term Complications,63,"103,611",60.8,63.6,,,,,,
1982,2007,Humboldt,3,Diabetes Long-term Complications,62,"103,821",59.7,61.9,,,,,,
1983,2008,Humboldt,3,Diabetes Long-term Complications,57,"104,570",54.5,56.2,,,,,,
1984,2009,Humboldt,3,Diabetes Long-term Complications,56,"105,478",53.1,54.5,,,,,,
1985,2010,Humboldt,3,Diabetes Long-term Complications,52,"106,717",48.7,49.8,,,,,,
1986,2011,Humboldt,3,Diabetes Long-term Complications,67,"107,013",62.6,63.8,,,,,,
1987,2012,Humboldt,3,Diabetes Long-term Complications,76,"105,607",72.0,71.9,,,,,,
1988,2013,Humboldt,3,Diabetes Long-term Complications,96,"105,726",90.8,90.0,,,,,,
1989,2014,Humboldt,3,Diabetes Long-term Complications,93,"108,619",85.6,85.3,,,,,,
1990,2015,Humboldt,3,Diabetes Long-term Complications,63,"79,121",79.6,77.6,,,,,,
1991,2016,Humboldt,3,Diabetes Long-term Complications,,,,,70,"109,915",63.7,55.4,,
1992,2017,Humboldt,3,Diabetes Long-term Complications,,,,,74,"110,396",67.0,58.2,,
1993,2018,Humboldt,3,Diabetes Long-term Complications,,,,,80,"110,416",72.5,62.6,,
1994,2019,Humboldt,3,Diabetes Long-term Complications,,,,,81,"110,113",73.6,63.2,,
1995,2020,Humboldt,3,Diabetes Long-term Complications,,,,,74,"110,448",67.0,57.2,,
1996,2021,Humboldt,3,Diabetes Long-term Complications,,,,,116,"109,377",106.1,89.4,,
1997,2022,Humboldt,3,Diabetes Long-term Complications,,,,,99,"110,011",90.0,76.0,,
1998,2023,Humboldt,3,Diabetes Long-term Complications,,,,,96,"109,146",88.0,59.1,,
1999,2005,Imperial,3,Diabetes Long-term Complications,170,"109,478",155.3,177.3,,,,,,
2000,2006,Imperial,3,Diabetes Long-term Complications,159,"112,879",140.9,160.1,,,,,,
2001,2007,Imperial,3,Diabetes Long-term Complications,154,"115,944",132.8,150.2,,,,,,
2002,2008,Imperial,3,Diabetes Long-term Complications,118,"118,550",99.5,111.4,,,,,,
2003,2009,Imperial,3,Diabetes Long-term Complications,154,"121,552",126.7,140.8,,,,,,
2004,2010,Imperial,3,Diabetes Long-term Complications,181,"124,055",145.9,161.2,,,,,,
2005,2011,Imperial,3,Diabetes Long-term Complications,173,"125,985",137.3,151.2,,,,,,
2006,2012,Imperial,3,Diabetes Long-term Complications,172,"122,385",140.5,149.8,,,,,,
2007,2013,Imperial,3,Diabetes Long-term Complications,183,"122,276",149.7,157.9,,,,,,
2008,2014,Imperial,3,Diabetes Long-term Complications,143,"130,127",109.9,118.0,,,,,,
2009,2015,Imperial,3,Diabetes Long-term Complications,82,"92,754",88.4,90.7,,,,,,
2010,2016,Imperial,3,Diabetes Long-term Complications,,,,,116,"127,819",90.8,70.9,,
2011,2017,Imperial,3,Diabetes Long-term Complications,,,,,165,"129,153",127.8,99.3,,
2012,2018,Imperial,3,Diabetes Long-term Complications,,,,,130,"129,174",100.6,77.7,,
2013,2019,Imperial,3,Diabetes Long-term Complications,,,,,154,"128,967",119.4,91.5,,
2014,2020,Imperial,3,Diabetes Long-term Complications,,,,,130,"128,388",101.3,77.5,,
2015,2021,Imperial,3,Diabetes Long-term Complications,,,,,152,"128,464",118.3,90.5,,
2016,2022,Imperial,3,Diabetes Long-term Complications,,,,,167,"128,478",130.0,99.4,,
2017,2023,Imperial,3,Diabetes Long-term Complications,,,,,208,"128,709",161.6,141.8,,
2018,2005,Inyo,3,Diabetes Long-term Complications,8,"14,549",55.0,46.8,,,,,,
2019,2006,Inyo,3,Diabetes Long-term Complications,12,"14,456",83.0,71.2,,,,,,
2020,2007,Inyo,3,Diabetes Long-term Complications,10,"14,505",68.9,59.0,,,,,,
2021,2008,Inyo,3,Diabetes Long-term Complications,12,"14,485",82.8,70.3,,,,,,
2022,2009,Inyo,3,Diabetes Long-term Complications,5,"14,651",34.1,29.1,,,,,,
2023,2010,Inyo,3,Diabetes Long-term Complications,9,"14,670",61.3,52.2,,,,,,
2024,2011,Inyo,3,Diabetes Long-term Complications,10,"14,640",68.3,57.8,,,,,,
2025,2012,Inyo,3,Diabetes Long-term Complications,5,"16,277",30.7,28.6,,,,,,
2026,2013,Inyo,3,Diabetes Long-term Complications,13,"16,250",80.0,73.8,,,,,,
2027,2014,Inyo,3,Diabetes Long-term Complications,15,"15,730",95.4,84.6,,,,,,
2028,2015,Inyo,3,Diabetes Long-term Complications,15,"12,814",117.1,111.3,,,,,,
2029,2016,Inyo,3,Diabetes Long-term Complications,,,,,10,"14,212",70.4,64.8,,
